1A				
ei dift 1 tavussa?				
Lokat.	vaskâmist	aa->a, m	vaskâmijn	aa->a, m
Kom.	vaskâmain	aa->a, m	vaskâmijguin	aa->a, m
abess.	vaskâmttáá	aa->a, m	vaskâmijttáá	aa->a, m
ess.	vaskâmin	aa->a, m		
	vaaskân			
partit.	vaskâmid	aa->a, m		
	vaaskâd			
SIEMÂ				
d-k				
m->mm				
m->´m				
n				
Nom. 	siemâ		sie´mâneh	m->´m
Gen.	siemmân	m->mm	sie´mânij	m->´m
Akk.	siemmân	m->mm	sie´mânijd	m->´m
Illat.	sie´mânân	m->´m	sie´mânáid	m->´m
Lokat.	sie´mânist	m->´m	sie´mânijn	m->´m
Kom.	sie´mânáin	m->´m	sie´mânijguin	m->´m
abess.	siemmânttáá	m->mm	sie´mânijttáá	m->´m
ess.	siemân			
	sie´mânin			
partit.	siemâd			
	sie´mânid			
ČEVE				
v-k-v				
v->p´p				
v->´p				
e->iä				
e->á				
t				
t->tt				
Nom. 	čeve		čiä´pátteh	eve->iä´pátt
Gen.	čiäp´pát	eve->iäp´pát	čiä´páttij	eve->iä´pátt
Akk.	čiäp´pát	eve->iäp´pát	čiä´páttijd	eve->iä´pátt
Illat.	čiä´páttân	eve->iä´pátt	čiä´páttáid	eve->iä´pátt
Lokat.	čiä´páttist	eve->iä´pátt	čiä´páttijn	eve->iä´pátt
Kom.	čiä´páttáin	eve->iä´pátt	čiä´páttijguin	eve->iä´pátt
abess.	čiä´ppáttáá		čiä´páttijttáá	eve->iä´pátt
ess.	čiä´páttin			
	čeeveen			
partit.	čiä´páttid			
	čeeveed			
NUOVČÂ				
d-kk				
vč->h´č				
m				
Nom. 	njuovčâ		njuoh´čâmeh	vč->h´č, m
Gen.	njuoh´čâm	vč->h´č, m	njuoh´čâmij	vč->h´č, m
Akk.	njuoh´čâm	vč->h´č, m	njuoh´čâmijd	vč->h´č, m
Illat.	njuoh´čâmân	vč->h´č, m	njuoh´čâmáid	vč->h´č, m
Lokat.	njuoh´čâmist	vč->h´č, m	njuoh´čâmijn	vč->h´č, m
Kom.	njuoh´čâmáin	vč->h´č, m	njuoh´čâmijguin	vč->h´č, m
abess.	njuoh´čâmttáá	vč->h´č, m	njuoh´čâmijttáá	vč->h´č, m
ess.	njuoh´čâmin	vč->h´č, m		
	njuovčân			
partit.	njuoh´čâmid	vč->h´č, m		
	njuovčâd			
SOOVSÂ				
v-kk				
v->k				
oo->o				
m				
Nom. 	soovsâ		soksâmeh	oov->ok, m
Gen.	soksâm	oov->ok, m	soksâmij	oov->ok, m
Akk.	soksâm	oov->ok, m	soksâmijd	oov->ok, m
Illat.	soksâmân	oov->ok, m	soksâmáid	oov->ok, m
Lokat.	soksâmist	oov->ok, m	soksâmijn	oov->ok, m
Kom.	soksâmáin	oov->ok, m	soksâmijguin	oov->ok, m
abess.	soksâmttáá	oov->ok, m	soksâmijttáá	oov->ok, m
ess.	soksâmin	oov->ok, m		
	soovsân			
partit.	soksâmid	oov->ok, m		
	soovsâd			
