1045557 
42469 já	já+CC
  79 Eino	Eino+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
  78 tupe	tupe+N+Sg+Nom
  78 Kangasniemi	Kangasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Nom
  78 Kangasniemi	Kangasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Gen
  78 Kangasniemi	Kangasniemi+OLang/FINN+Prop+Sem/Plc+Sg+Acc
  77 kuohtii	kuohtii+Adv
  77 Ritva	Ritva+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
  77 Ritva	Ritva+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
  77 Ritva	Ritva+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
  76 sunnust	sun+Pron+Pers+Du3+Loc
  76 kielâpiervâlist	kielâpiervâl+N+Sg+Loc
  74 Tađe	tot+Pron+Dem+Sg+Par
  73 alme	alme+N+Sg+Nom
  73 Vala	Val+OLang/UNDN+Prop+Sem/Sur+Sg+Gen
  73 Vala	Val+OLang/UNDN+Prop+Sem/Sur+Sg+Acc
  72 ulguubeln	ulguubeln+Adv
  72 Vâi	vâi+CC
  72 Sofia	Sofia+OLang/NOBN+Prop+Sem/Fem+Sg+Nom
  72 Sofia	Sofia+OLang/NOBN+Prop+Sem/Fem+Sg+Gen
  72 Sofia	Sofia+OLang/NOBN+Prop+Sem/Fem+Sg+Acc
  72 Martti	Martti+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  72 Martti	Martti+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
  72 Martti	Martti+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
  71 čäällim	čäällim
  71 vuojâ	vuojâ+N+Sg+Nom
  71 vuojâ	vuojâ+N+Sg+Gen
  71 vuojâ	vuojâ+N+Sg+Acc
  71 lahkin	leđe+V+IV+Ind+Prs+Sg2+Foc
  71 Lauri	Lauri+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  71 Lauri	Lauri+OLang/UNDN+Prop+Sem/Mal+Sg+Gen
  71 Lauri	Lauri+OLang/UNDN+Prop+Sem/Mal+Sg+Acc
  70 toiguin	tot+Pron+Dem+Pl+Com
  70 Ester	Ester+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
  70 Anja	Anja+OLang/UNDN+Prop+Sem/Fem+Sg+Nom
  70 Anja	Anja+OLang/UNDN+Prop+Sem/Fem+Sg+Gen
  70 Anja	Anja+OLang/UNDN+Prop+Sem/Fem+Sg+Acc
  69 Täst	täst+Adv
  68 muin	mun+Pron+Pers+Sg1+Com
  68 majemui	majemuš+N+Sg+Gen
  68 majemui	majemuš+N+Sg+Acc
  68 leppeđ	leđe+V+IV+Ind+Prs+Pl2
  68 juuhâ	juuhâđ+V+Sg3
  68 Jieh	ij+V+Neg+Prs+Sg2
  67 Čohčuv	čohčuv+Adv
  67 Nieidâ	nieidâ+N+Sg+Nom
  67 Nieidâ	nieidâ+N+Sg+Gen
  67 Nieidâ	nieidâ+N+Sg+Acc
  66 syele	syele+Adv
  66 pittá	pittá+N+Sg+Nom
  66 Saijets	Saijets+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
  66 Omar	Omar+OLang/UNDN+Prop+Sem/Mal+Sg+Nom
  65 Ain	Ain+OLang/UNDN+Prop+Sem/Sur+Sg+Nom
  64 tiervân	tiervân+Adv
  64 Uási	uási+N+Sg+Nom
